T;P;F
0;;
0.030053359;;
0.041411289;;
0.052428594;;
0.062965586;;
0.073605391;;
0.084291875;;
0.09564207;;
0.108169531;;
0.119592461;;
0.130254414;;
0.143589844;;
0.15673332;;
0.167992031;;
0.180338008;;
0.250440937;0.004125;242.4242424
0.285906836;;
0.297659141;;
0.309254687;;
0.322119375;;
0.333906523;;
0.345457305;;
0.357328398;;
0.368654375;;
0.380851523;;
0.393355664;;
0.404412734;;
0.416206406;;
0.428322734;;
0.440300703;;
0.452224766;;
0.463263633;;
0.475107148;;
0.486469375;;
0.498374297;;
0.509742187;;
0.545720859;;
0.557516953;;
0.582610273;0.0053125;188.2352941
0.596342578;0.0053125;188.2352941
0.620274492;;
0.636951016;;
0.689069101;;
0.702966328;0.003604166667;277.4566474
0.720106914;;
0.734433203;;
0.748873672;;
0.765861406;;
0.77877875;;
0.790319492;;
0.80748625;;
0.823210117;0.004666666667;214.2857143
0.840198476;0.0073125;136.7521368
0.856359609;0.0073125;136.7521368
0.870481016;0.005625;177.7777778
0.888262266;0.006145833333;162.7118644
0.905141914;0.0039375;253.968254
0.922271328;0.003145833333;317.8807947
0.940240469;0.006979166667;143.2835821
0.95853832;0.006979166667;143.2835821
0.972567383;0.005;200
0.990266992;0.0051875;192.7710843
1.009227461;0.004604166667;217.1945701
1.027191055;0.00425;235.2941176
1.046356797;0.0024375;410.2564103
1.085199922;0.0046875;213.3333333
1.136189141;0.005104166667;195.9183673
1.156690156;;
1.169723906;;
1.210202383;;
1.265871953;;
1.311780078;;
1.325245898;;
1.337998984;;
1.365655391;;
1.425880625;;
1.438115312;;
1.449444648;;
1.463541719;;
1.48141418;;
1.49798125;;
1.512649141;;
1.530695625;;
1.547796094;;
1.566142226;;
1.584881484;;
1.605839609;;
1.62360543;;
1.643592656;;
1.662161797;;
1.68131043;;
1.695116992;;
1.715591601;;
1.734574844;;
1.754329101;;
1.773373164;;
1.793223906;;
1.811759805;0.006125;163.2653061
1.832161992;;
1.850939414;0.0039375;253.968254
1.869997422;0.004666666667;214.2857143
1.888885117;0.0045625;219.1780822
1.907500937;0.005166666667;193.5483871
1.924599492;0.004666666667;214.2857143
1.942458242;0.004458333333;224.2990654
1.960485195;0.0044375;225.3521127
1.97816543;0.0044375;225.3521127
1.992641016;0.004416666667;226.4150943
2.01071668;0.005458333333;183.2061069
2.029951367;0.004666666667;214.2857143
2.044751445;0.004833333333;206.8965517
2.060751289;0.004833333333;206.8965517
2.073950937;0.004833333333;206.8965517
2.085910312;0.006145833333;162.7118644
2.104671562;0.004895833333;204.2553191
2.122690781;0.005104166667;195.9183673
2.140800937;0.005;200
2.16236875;0.004770833333;209.6069869
2.180022031;0.004770833333;209.6069869
2.19428543;0.0044375;225.3521127
2.214134062;0.004645833333;215.2466368
2.236569648;0.0053125;188.2352941
2.253629101;0.005;200
2.271347617;0.004625;216.2162162
2.290487422;0.004166666667;240
2.307163047;0.004541666667;220.1834862
2.3272975;0.005;200
2.346121289;0.004395833333;227.4881517
2.364800039;0.003666666667;272.7272727
2.383038359;0.004625;216.2162162
2.401637812;0.0045625;219.1780822
2.420278984;0.0045625;219.1780822
2.434471016;0.004104166667;243.6548223
2.453435391;0.006125;163.2653061
2.467533476;0.0046875;213.3333333
2.48066332;0.0046875;213.3333333
2.495342734;0.004479166667;223.255814
2.509888008;0.004875;205.1282051
2.530055859;0.005104166667;195.9183673
2.569364414;0.005270833333;189.7233202
2.589621953;0.0044375;225.3521127
2.608913672;;
2.66463707;0.003104166667;322.147651
2.683064219;0.001145833333;872.7272727
2.700290351;0.001145833333;872.7272727
2.71512707;0.0044375;225.3521127
2.735560625;0.005708333333;175.1824818
2.755534414;0.004541666667;220.1834862
2.775061172;0.0044375;225.3521127
2.795239219;0.0039375;253.968254
2.818446758;0.0049375;202.5316456
2.838955859;0.0049375;202.5316456
2.856500898;0.005020833333;199.1701245
2.876295898;0.005020833333;199.1701245
2.89569707;0.004708333333;212.3893805
2.913963203;0.0044375;225.3521127
2.934145234;0.004729166667;211.4537445
2.95157457;0.004895833333;204.2553191
2.972418086;0.007354166667;135.9773371
2.991652891;0.0055;181.8181818
3.012649297;0.004458333333;224.2990654
3.031767109;0.004520833333;221.1981567
3.05721332;0.004520833333;221.1981567
3.071663984;0.006770833333;147.6923077
3.086111914;0.004895833333;204.2553191
3.100331992;0.004708333333;212.3893805
3.117951797;0.004708333333;212.3893805
3.132166367;0.005125;195.1219512
3.150812344;0.003416666667;292.6829268
3.168951289;0.004666666667;214.2857143
3.189403594;0.005020833333;199.1701245
3.205318086;0.0050625;197.5308642
3.222164023;0.0045;222.2222222
3.239471055;0.0045;222.2222222
3.251498203;0.004375;228.5714286
3.264878008;0.004625;216.2162162
3.276794023;0.004625;216.2162162
3.289646719;0.0044375;225.3521127
3.329433125;0.004354166667;229.6650718
3.34414918;0.00475;210.5263158
3.362831601;0.005458333333;183.2061069
3.383824101;0.00425;235.2941176
3.404936289;0.004416666667;226.4150943
3.425264531;0.005125;195.1219512
3.444614219;0.0053125;188.2352941
3.464195;;
3.483066016;0.004625;216.2162162
3.499235391;0.0049375;202.5316456
3.514381328;0.0049375;202.5316456
3.527276914;;
3.542836601;0.003770833333;265.1933702
3.55828457;0.003770833333;265.1933702
3.568895976;0.0049375;202.5316456
3.581704023;0.004041666667;247.4226804
3.593752891;0.004041666667;247.4226804
3.604833398;0.004979166667;200.8368201
3.618724609;0.004979166667;200.8368201
3.630643516;0.004520833333;221.1981567
3.644152891;0.005;200
