Time (s);Period (s);Frequency (Hz)
0;;
0.023167149;;
0.034488438;;
0.04528793;;
0.056003828;;
0.066617735;;
0.077270977;;
0.087886367;;
0.099234805;;
0.109959688;;
0.12057586;;
0.131178516;;
0.142662578;;
0.154257383;;
0.16681336;;
0.177839532;;
0.249524532;0.0040625;246.1538462
0.261872735;0.0040625;246.1538462
0.272503711;0.0045625;219.1780822
0.284924922;0.0045625;219.1780822
0.30829836;;
0.320298282;;
0.331573242;;
0.343483203;;
0.354452227;;
0.36791668;0.004291666667;233.0097087
0.380362696;0.004291666667;233.0097087
0.416510352;;
0.475313321;;
0.488069141;;
0.500733672;;
0.51137461;;
0.522518907;;
0.533617813;;
0.544679102;;
0.555434571;;
0.567367735;;
0.579797774;;
0.617940391;;
0.633209024;;
0.668964219;;
0.682258321;;
0.693559258;;
0.706352852;0.003833333333;260.8695652
0.720220508;0.003833333333;260.8695652
0.733106875;;
0.746276407;;
0.757893438;;
0.773536953;;
0.789407969;;
0.80466586;;
0.817739102;;
0.834010352;;
0.849330586;;
0.865715782;;
0.881711016;;
0.895184414;0.0063125;158.4158416
0.911866172;;
0.930442266;;
0.968648047;;
0.986533946;;
1.02085;0.004708333333;212.3893805
1.040085664;0.006541666667;152.866242
1.057192852;;
1.098589883;;
1.114217344;;
1.159053086;0.004291666667;233.0097087
1.17666668;0.003958333333;252.6315789
1.191955664;0.004208333333;237.6237624
1.206604453;0.004208333333;237.6237624
1.218257188;0.002354166667;424.7787611
1.233564532;0.004916666667;203.3898305
1.246365235;0.004916666667;203.3898305
1.258692422;0.003729166667;268.1564246
1.271795313;0.004166666667;240
1.285076289;0.004166666667;240
1.299265274;0.003854166667;259.4594595
1.317725196;0.0046875;213.3333333
1.338103203;0.0044375;225.3521127
1.357008164;0.004666666667;214.2857143
1.379072188;0.004604166667;217.1945701
1.453314297;;
1.471710157;0.0051875;192.7710843
1.490964961;;
1.511134688;;
1.529337344;0.007270833333;137.5358166
1.550311797;0.0005416666667;1846.153846
1.567265547;0.004;250
1.584020274;0.004;250
1.675625469;0.006854166667;145.8966565
1.779345782;0.006229166667;160.5351171
1.79958086;0.007270833333;137.5358166
1.841570821;0.007458333333;134.0782123
1.857948946;0.00625;160
