T;P;F
0;;
0.022264336;;
0.034087734;;
0.044941562;;
0.056067578;;
0.066890351;;
0.078193515;;
0.089485781;;
0.100151836;;
0.111626328;;
0.123020195;;
0.133909726;;
0.146718867;;
0.158756875;;
0.170635156;;
0.241534726;;
0.254238906;;
0.26681039;;
0.278562304;0.007083333333;141.1764706
0.291315351;0.007083333333;141.1764706
0.316146132;0.005416666667;184.6153846
0.328327226;0.005416666667;184.6153846
0.339025195;0.004291666667;233.0097087
0.35142875;0.004291666667;233.0097087
0.362257343;0.006333333333;157.8947368
0.375636289;0.004479166667;223.255814
0.386561914;0.004479166667;223.255814
0.397178007;0.005020833333;199.1701245
0.408228242;0.005020833333;199.1701245
0.430824492;0.002458333333;406.779661
0.442351328;0.002458333333;406.779661
0.477909687;0.005125;195.1219512
0.489662929;0.005125;195.1219512
0.501746914;0.005708333333;175.1824818
0.51391539;;
0.525715;;
0.537324414;0.0055;181.8181818
0.549288203;0.0055;181.8181818
0.560248945;0.0064375;155.3398058
0.572352851;0.006979166667;143.2835821
0.58573664;0.006979166667;143.2835821
0.597080312;0.006166666667;162.1621622
0.610279765;0.006166666667;162.1621622
0.661287422;0.005333333333;187.5
0.675015898;0.00525;190.4761905
0.689570468;0.00525;190.4761905
0.702358281;0.005645833333;177.1217712
0.722910507;0.0055;181.8181818
0.75165539;0.0048125;207.7922078
0.765639882;0.0048125;207.7922078
0.777305586;0.005479166667;182.5095057
0.816904726;0.00675;148.1481481
0.829427109;0.00675;148.1481481
0.842212343;;
0.854517968;0.006770833333;147.6923077
0.867496367;0.006770833333;147.6923077
0.891858515;;
0.904379922;;
0.916749922;;
0.929300703;;
0.955809492;;
0.970697578;;
0.983911054;;
0.995930742;;
1.008377617;;
1.020598007;;
1.036684257;0.0044375;225.3521127
1.050193593;0.0044375;225.3521127
1.061777968;0.007375;135.5932203
1.075862187;0.005583333333;179.1044776
1.089518593;0.005583333333;179.1044776
1.134200468;0.004958333333;201.6806723
1.149128906;0.004958333333;201.6806723
1.161887812;0.004645833333;215.2466368
1.175118242;0.004291666667;233.0097087
1.187828047;0.004291666667;233.0097087
1.200879687;0.005125;195.1219512
1.214266523;0.007291666667;137.1428571
1.228152968;0.007291666667;137.1428571
1.240227422;0.005729166667;174.5454545
1.253671523;0.007354166667;135.9773371
1.267295898;0.007354166667;135.9773371
1.279946172;0.007354166667;135.9773371
1.335515234;0.004979166667;200.8368201
1.352245351;0.005270833333;189.7233202
1.36500707;0.005270833333;189.7233202
1.376566953;0.004541666667;220.1834862
1.38985957;0.004541666667;220.1834862
1.481383359;;
1.519865429;0.007375;135.5932203
1.534069453;0.007479166667;133.7047354
1.548474257;0.007479166667;133.7047354
1.560471797;;
1.638355625;;
1.651782343;;
1.664944297;;
1.70257664;;
1.717553359;;
1.731936757;;
1.746792929;;
1.772295586;;
1.785770234;;
1.811084922;;
1.824885664;;
1.861911601;;
1.900321523;;
1.914172656;;
1.927577226;;
1.939334961;;
1.953338672;;
1.967440976;;
1.979874843;;
1.993700664;;
2.007100234;;
2.019519843;;
2.034475625;;
2.048206132;;
2.060610312;;
2.075781289;;
2.090048125;;
2.102145351;;
2.11679332;;
2.13019;;
2.142072109;;
2.157703047;;
2.172368554;;
2.185112929;;
2.197239257;;
2.208863359;;
2.219874804;;
2.232116718;;
2.245108711;;
2.256308476;;
2.268529453;;
2.28023789;;
2.293500547;;
2.306530429;;
2.318095586;;
2.331761328;;
2.344563515;;
2.355717422;;
2.367778984;;
2.38175414;;
2.395393476;;
2.408447226;;
2.421188828;;
2.435082578;;
2.449415351;;
2.463542851;;
2.481437773;;
2.501102851;;
2.517778593;;
2.537681953;;
2.554421328;;
2.570871836;;
2.585797617;;
2.597274062;;
2.611528554;;
2.625746054;;
2.639569218;;
2.652935429;;
2.664130351;;
2.719779882;0.004354166667;229.6650718
2.731397812;0.005395833333;185.3281853
2.743897187;0.005395833333;185.3281853
2.754949687;0.005625;177.7777778
2.767615156;0.005625;177.7777778
2.802887304;0.001625;615.3846154
2.814925234;0.001916666667;521.7391304
2.827321484;0.001916666667;521.7391304
2.838482929;0.0054375;183.908046
2.936663906;0.0060625;164.9484536
2.95125207;0.0060625;164.9484536
2.975734843;0.004125;242.4242424
2.988446523;0.004125;242.4242424
3.006262929;0.005375;186.0465116
3.126437695;0.0044375;225.3521127
3.184075586;;
3.294851953;0.006770833333;147.6923077
3.309162617;0.006770833333;147.6923077
3.341299961;;
3.374700781;0.007125;140.3508772
3.389116328;0.007125;140.3508772
3.400679336;;
3.412891132;;
3.426316679;;
3.437982812;;
3.450905781;;
3.462317851;;
3.475615;0.005958333333;167.8321678
3.489631445;0.005958333333;167.8321678
3.501793554;;
3.516085429;;
3.534400078;;
3.548729765;;
3.560775742;;
3.573953437;;
3.586426406;;
3.602382656;;
3.616326718;;
3.629778164;;
3.641513398;;
3.657010781;;
3.670615;;
3.682912695;;
3.70301082;0.00625;160
3.724451757;;
3.74283625;;
3.76470332;;
3.784554726;;
3.80016707;;
3.820276836;;
3.837030195;;
3.85548914;0.006875;145.4545455
3.873925195;0.006875;145.4545455
3.88884539;;
3.906853398;;
3.924701367;;
3.943449062;;
3.961074609;;
3.979226093;;
3.99621414;;
4.041748593;;
4.058632773;;
4.074811718;;
4.091673789;;
4.105408945;;
4.125238164;;
4.142249453;;
4.161104609;;
4.179847343;;
4.194220078;;
4.208091992;;
4.219085547;;
4.232048164;;
4.244873203;;
4.258308632;;
4.272884609;;
4.289274257;;
4.30788789;;
4.328704492;;
4.347791718;;
4.367795234;;
4.387942148;;
4.446321601;0.0055;181.8181818
4.467777929;0.004375;228.5714286
4.487005937;0.00725;137.9310345
4.506595937;0.0055;181.8181818
4.545756601;0.002875;347.826087
4.56592957;0.004395833333;227.4881517
4.584038945;0.004541666667;220.1834862
4.597745586;0.003916666667;255.3191489
4.612463359;0.005458333333;183.2061069
4.62608332;0.005458333333;183.2061069
4.638736367;0.005583333333;179.1044776
4.725810234;0.0036875;271.1864407
4.744393125;0.006166666667;162.1621622
4.788158828;;
4.809632304;0.005833333333;171.4285714
4.82327039;0.006104166667;163.8225256
4.881725156;;
4.897080547;0.0059375;168.4210526
4.910940625;0.0059375;168.4210526
4.96390625;;
5.021268398;;
5.0937925;;
5.110790742;;
5.163401328;;
5.239796015;;
5.305341992;;
5.318892226;;
5.330534922;;
5.364981601;;
5.460591953;;
5.474385586;0.005395833333;185.3281853
5.490079609;0.005395833333;185.3281853
5.561274062;;
5.579368672;;
5.643352617;;
5.659332148;;
5.676116836;;
5.721981015;;
5.737663906;;
5.753714179;;
5.770921211;;
5.801295898;;
5.819377148;;
5.835085;;
5.853421679;;
5.874073984;;
5.890819297;;
5.905972812;;
5.923643593;;
5.940283437;;
5.958930351;;
5.977497148;;
5.997118593;;
6.016392031;;
6.033830117;;
6.052087734;;
6.06762789;;
6.081173672;;
6.096917773;;
6.113822773;;
6.147996797;;
6.166735039;;
6.185588984;;
6.205034179;;
6.243515429;0.007083333333;141.1764706
6.284025781;0.004541666667;220.1834862
6.305071211;0.005020833333;199.1701245
6.325523125;0.0054375;183.908046
6.345313554;0.007270833333;137.5358166
6.365101093;0.004791666667;208.6956522
6.383021093;0.006875;145.4545455
6.40204125;0.001854166667;539.3258427
6.420411211;0.004791666667;208.6956522
6.438330625;0.000875;1142.857143
6.457238007;0.00425;235.2941176
6.474473554;;
6.492294492;;
6.526481054;0.0043125;231.884058
6.545267578;;
6.579984023;0.004145833333;241.2060302
6.597399687;0.005875;170.212766
6.640209414;0.006854166667;145.8966565
6.653404414;0.006854166667;145.8966565
6.667895781;0.0045;222.2222222
6.696879375;;
6.710983906;;
6.723254531;;
6.740257422;;
6.77737957;0.005833333333;171.4285714
6.845697851;;
6.88373914;;
6.922479765;;
6.941079531;;
6.959847148;;
7.004391718;;
7.018733007;;
7.037111484;;
7.055455;;
7.073916211;;
7.088559297;;
7.107038398;;
7.124350429;;
7.160413476;;
7.178381093;;
7.196242031;;
7.214774179;;
7.234000976;;
7.252224453;;
7.268794922;;
7.28258039;;
7.300268828;;
7.32071289;;
7.338244492;;
7.35545;;
7.373301914;;
7.390334179;;
7.405879101;;
7.42591914;0.00625;160
7.445677422;;
7.540695312;0.004541666667;220.1834862
7.557429961;0.004625;216.2162162
7.572960312;0.004625;216.2162162
7.587699062;0.003416666667;292.6829268
7.608209179;0.007333333333;136.3636364
7.69064625;0.006145833333;162.7118644
7.729902304;0.005625;177.7777778
7.769796406;0.005604166667;178.4386617
7.900320468;0.006916666667;144.5783133
7.960707734;;
7.9773675;0.002958333333;338.028169
8.098683086;;
8.153430351;;
8.170209062;;
8.260033398;;
8.316109726;0.007375;135.5932203
8.335114297;0.006625;150.9433962
8.352830703;0.006625;150.9433962
8.483826484;0.006979166667;143.2835821
8.525252695;;
8.545716523;0.0071875;139.1304348
8.600293203;;
8.639979062;0.0051875;192.7710843
8.654422343;;
8.67000539;;
8.681471718;;
8.691948828;;
8.702845586;;
8.714965429;;
8.729421992;;
8.741658711;;
8.755864609;;
8.770856406;0.006104166667;163.8225256
8.785986093;0.006104166667;163.8225256
8.797652148;;
8.811356445;;
8.824314961;;
8.836080078;;
8.849192929;;
8.861198164;;
8.877648711;;
8.914431367;;
8.926645273;;
8.938838476;;
8.954556718;;
8.970146757;;
8.983787539;;
9.001763125;;
9.018855273;;
9.0375775;;
9.051433164;;
9.063896406;;
9.082626289;;
9.100484726;;
9.119936914;;
9.138577968;;
9.155993828;;
9.175047851;;
9.192657382;;
9.208771679;;
9.224904492;;
9.24421;;
9.264025039;;
9.282436992;;
9.299102382;0.0063125;158.4158416
9.318886093;;
9.339104804;0.0041875;238.8059701
9.356545976;0.006625;150.9433962
9.395056757;0.0054375;183.908046
9.414512773;0.004291666667;233.0097087
9.432550429;0.0023125;432.4324324
9.451260937;0.0023125;432.4324324
9.522485976;0.004041666667;247.4226804
9.617987929;;
9.654977031;;
9.672500234;;
9.686858828;0.007145833333;139.941691
9.743636367;;
9.79653457;0.004916666667;203.3898305
9.809631132;0.004916666667;203.3898305
9.821806523;0.0074375;134.4537815
9.836832265;0.0046875;213.3333333
9.849644179;0.0046875;213.3333333
9.861877148;;
9.881907187;;
9.935516172;;
9.971485195;;
9.987421875;;
10.00325961;;
10.02122266;;
10.03962609;;
10.0582475;;
10.07604359;;
10.09799113;;
10.11485855;;
10.13218715;;
10.14754617;;
10.17878176;;
10.19629707;;
10.2100318;;
10.22163195;;
10.23697336;;
10.25614531;;
10.27401652;;
10.29285418;;
10.30683277;;
10.32633996;;
10.3456702;;
10.36450516;;
10.40147047;;
10.43686777;;
10.4542432;;
10.47035945;;
10.53932578;0.003416666667;292.6829268
10.55887652;0.0045;222.2222222
10.596955;0.006666666667;150
10.61744074;0.005729166667;174.5454545
10.63569754;0.005041666667;198.3471074
10.6522707;0.005041666667;198.3471074
10.66616246;0.005958333333;167.8321678
10.70346301;0.005458333333;183.2061069
10.72299051;0.00325;307.6923077
10.7406234;0.005958333333;167.8321678
10.7592984;0.00425;235.2941176
10.77633371;;
10.79181313;;
10.80464812;0.0045;222.2222222
10.83946984;0.007354166667;135.9773371
10.85722746;0.007291666667;137.1428571
10.87487508;0.005916666667;169.0140845
10.92660387;0.002666666667;375
10.99339141;;
11.00945785;;
11.06388168;0.006979166667;143.2835821
11.08104223;0.0056875;175.8241758
11.11625043;0.006729166667;148.6068111
11.16568371;;
11.20157168;0.0066875;149.5327103
11.25701871;;
11.27085156;;
11.28327426;0.0071875;139.1304348
11.33705957;;
11.35161785;;
11.36650043;;
11.39783762;;
11.41688801;;
11.46422988;;
11.4826216;;
11.49974879;;
11.54984336;;
11.56743941;;
11.58445039;;
11.60127508;;
11.6175075;;
11.63495641;;
11.65044992;;
11.66505238;;
11.68168379;0.00625;160
11.69900324;;
11.71634476;;
11.72984047;;
11.74449816;;
11.7586427;;
11.77133852;;
11.78307316;;
11.79722551;;
11.81764199;;
11.83736891;;
11.8582559;;
11.90202309;;
11.91783715;;
11.95343609;0.0043125;231.884058
11.9686573;0.0043125;231.884058
11.97970516;;
11.99088727;0.005375;186.0465116
12.0029291;0.005375;186.0465116
12.04224883;0.004666666667;214.2857143
12.05507293;0.004604166667;217.1945701
12.06938137;0.004604166667;217.1945701
12.14165367;0.007;142.8571429
12.1616293;0.004395833333;227.4881517
12.20221207;0.004625;216.2162162
12.26378984;0.004;250
12.4011166;0.006625;150.9433962
12.42221477;0.005395833333;185.3281853
12.44057113;;
12.46121109;;
12.4795952;;
12.49467297;0.004375;228.5714286
12.50836789;0.004375;228.5714286
12.52099406;;
12.53407305;;
12.54708859;;
12.55875367;;
12.57255602;0.004083333333;244.8979592
12.58814934;0.004083333333;244.8979592
12.6030025;;
12.6226207;;
12.63652914;;
12.67346055;;
12.68863512;;
12.70210305;;
12.73367848;;
12.74803758;;
12.75949508;;
12.77333324;;
12.79154438;;
12.82500098;;
12.84616867;;
12.8649482;;
12.88877242;;
12.90607863;;
12.92611793;;
12.94451965;;
12.96306891;;
12.98128418;;
13.00042562;;
13.01711918;;
13.03758656;;
13.05968441;;
13.07797059;;
13.09583406;;
13.11314961;;
13.1300175;;
13.14406184;;
13.1635123;;
13.1809623;;
13.1999973;;
13.21783684;;
13.23810047;;
13.25894051;;
13.27750316;;
13.29438715;;
13.31230176;;
13.32804508;;
13.34112117;;
13.37746762;;
13.3919682;;
13.4044348;;
13.4194125;;
13.43216047;;
13.44379621;0.004833333333;206.8965517
13.45887914;0.004583333333;218.1818182
13.47235285;0.004583333333;218.1818182
13.48455473;0.004708333333;212.3893805
13.50009062;0.006625;150.9433962
13.51459547;0.003583333333;279.0697674
13.52910758;0.003583333333;279.0697674
13.54250176;0.004479166667;223.255814
13.58702379;0.007166666667;139.5348837
13.60736223;0.003666666667;272.7272727
13.62597555;0.004708333333;212.3893805
13.64672578;0.00525;190.4761905
13.66825762;;
13.70763797;0.006645833333;150.4702194
13.72035688;;
13.75336777;0.005875;170.212766
13.76511641;0.005875;170.212766
13.77624738;0.006541666667;152.866242
13.7882582;0.006541666667;152.866242
13.84157559;0.00725;137.9310345
13.85599262;0.00425;235.2941176
13.87396215;;
13.88898867;;
13.90222617;0.00625;160
13.98498848;;
14.00438109;;
14.02457023;0.004895833333;204.2553191
14.04390258;;
