T;P;F
0;;
0.022049375;;
0.032900937;;
0.043548437;;
0.054250234;;
0.064892187;;
0.075507344;;
0.086123828;;
0.097095937;;
0.108368477;;
0.119115664;;
0.130399062;;
0.14179793;;
0.153457422;;
0.164490469;;
0.176902578;;
0.22406582;0.002479166667;403.3613445
0.236784648;0.002479166667;403.3613445
0.272516992;0.003583333333;279.0697674
0.309280156;;
0.321005117;;
0.332061211;;
0.343961133;;
0.35510293;;
0.366950742;;
0.379173672;;
0.390281562;0.004416666667;226.4150943
0.807543359;0.007125;140.3508772
1.304296172;0.007354166667;135.9773371
1.520239844;;
1.617729297;0.003354166667;298.136646
1.676650234;;
1.688072656;0.0002916666667;3428.571429
1.699665703;0.0002916666667;3428.571429
1.710319414;0.001625;615.3846154
1.721542969;0.001625;615.3846154
1.732558477;0.006583333333;151.8987342
1.973825117;0.004375;228.5714286
2.166499961;0.000125;8000
2.207314844;0.000125;8000
2.223458711;0.000125;8000
2.239307656;0.0001875;5333.333333
2.259831953;0.000125;8000
2.278884844;0.0001875;5333.333333
2.296848594;0.000125;8000
2.312808477;0.000125;8000
2.331746172;0.000125;8000
2.34879875;0.000125;8000
2.364831094;0.0001875;5333.333333
2.385915664;0.000125;8000
2.404978164;0.0001875;5333.333333
2.422266445;0.0001875;5333.333333
2.435254102;0.000125;8000
2.45403207;0.0001875;5333.333333
2.474299141;0.000125;8000
2.488994375;0.0001875;5333.333333
2.501328086;0.0001875;5333.333333
2.512926016;0.000125;8000
2.526209062;0.0001875;5333.333333
2.540498906;0.0001875;5333.333333
2.553819883;0.000125;8000
2.569644766;0.000125;8000
2.586580859;0.000125;8000
2.602961484;0.000125;8000
2.616729687;0.000125;8000
2.639713828;0.000125;8000
2.651873828;0.000125;8000
2.664294727;0.000125;8000
2.676832109;0.000125;8000
2.687971484;0.000125;8000
2.700083281;0.000125;8000
2.710699414;0.000125;8000
2.723347148;0.000125;8000
2.737861758;0.000125;8000
2.750104297;0.000125;8000
2.764493633;0.000125;8000
2.776678008;0.000125;8000
2.787923945;0.000125;8000
2.800956133;0.000125;8000
2.812180703;0.000125;8000
2.825311133;0.000125;8000
2.838633555;0.000125;8000
2.849762852;0.000125;8000
2.862135859;0.000125;8000
2.874511094;0.000125;8000
2.886018164;0.000125;8000
2.898340664;0.000125;8000
2.910743398;0.000125;8000
2.925994766;0.000125;8000
2.940870586;0.000125;8000
2.953057461;0.000125;8000
2.966284258;0.000125;8000
2.978174844;0.000125;8000
2.990868516;0.000125;8000
3.003300234;0.000125;8000
3.015435234;0.000125;8000
3.026835039;0.000125;8000
3.04088332;0.000125;8000
3.053071719;0.000125;8000
3.074165781;0.000125;8000
3.093670312;0.000125;8000
3.108426445;0.000125;8000
3.120878437;0.000125;8000
3.134314297;0.000125;8000
3.150086836;0.000125;8000
3.167635;0.000125;8000
3.184929492;0.000125;8000
3.203295664;0.000125;8000
3.220540937;0.000125;8000
3.233914883;0.000125;8000
3.250216719;0.000125;8000
3.267384297;0.000125;8000
3.283354219;0.000125;8000
3.297946953;0.000125;8000
3.311410078;0.006645833333;150.4702194
3.646167266;0.0071875;139.1304348
3.705994062;0.006770833333;147.6923077
3.882177891;0.006520833333;153.3546326
3.924378359;0.000125;8000
3.944912891;0.0002083333333;4800
