T;P;F
0;NaN;NaN
0.023617618;NaN;NaN
0.034736055;NaN;NaN
0.045730118;NaN;NaN
0.056295899;NaN;NaN
0.066851719;NaN;NaN
0.077375118;NaN;NaN
0.087925625;NaN;NaN
0.098941016;NaN;NaN
0.109483243;NaN;NaN
0.120051055;NaN;NaN
0.130574493;NaN;NaN
0.141693086;NaN;NaN
0.153313985;NaN;NaN
0.164252149;0.00025;4000
0.176327657;0.00025;4000
0.245290508;0.004666666667;214.2857143
0.257027266;0.004666666667;214.2857143
0.269007071;0.005;200
0.281025039;0.004291666667;233.0097087
0.294594766;0.004291666667;233.0097087
0.306948008;0.004166666667;240
0.319264219;0.002458333333;406.779661
0.330997266;0.002458333333;406.779661
0.342509805;0.005854166667;170.8185053
0.355430977;0.005854166667;170.8185053
0.366782344;NaN;NaN
0.379429141;NaN;NaN
0.391385625;0.004416666667;226.4150943
0.403378868;0.004791666667;208.6956522
0.415314453;0.004791666667;208.6956522
0.450321485;0.007375;135.5932203
0.463598555;0.005354166667;186.770428
0.475965469;0.005354166667;186.770428
0.487150313;0.004729166667;211.4537445
0.501263516;0.004729166667;211.4537445
0.513154688;0.004729166667;211.4537445
0.524244571;NaN;NaN
0.535971875;NaN;NaN
0.56135336;0.0050625;197.5308642
0.574356758;0.0050625;197.5308642
0.586085274;NaN;NaN
0.604013477;NaN;NaN
0.619944532;0.005291666667;188.976378
0.640755391;0.005291666667;188.976378
0.656025078;NaN;NaN
0.687115157;NaN;NaN
0.700364766;NaN;NaN
0.711515508;NaN;NaN
0.749206328;0.00525;190.4761905
0.761556094;NaN;NaN
0.772431368;NaN;NaN
0.782939727;NaN;NaN
0.794003321;NaN;NaN
0.804773828;NaN;NaN
0.815517578;NaN;NaN
0.826620977;NaN;NaN
0.838016055;NaN;NaN
0.848486211;NaN;NaN
0.859464024;0.0051875;192.7710843
0.876255586;0.0051875;192.7710843
0.887351719;NaN;NaN
0.898298907;NaN;NaN
0.909199688;NaN;NaN
0.920959805;NaN;NaN
0.9326875;NaN;NaN
0.944509024;NaN;NaN
0.956884883;NaN;NaN
0.981210938;0.002708333333;369.2307692
0.993683516;0.002708333333;369.2307692
1.006000157;0.0065625;152.3809524
1.018078203;0.0065625;152.3809524
1.030031993;NaN;NaN
1.042950039;NaN;NaN
1.055438516;NaN;NaN
1.06646543;NaN;NaN
1.07887293;NaN;NaN
1.090588711;NaN;NaN
1.104106797;0.006833333333;146.3414634
1.118195352;0.006833333333;146.3414634
1.167422422;NaN;NaN
1.180019141;NaN;NaN
1.193334883;0.005;200
1.208760938;NaN;NaN
1.220739414;NaN;NaN
1.245079102;0.003333333333;300
1.258069727;0.003333333333;300
1.271578243;0.006875;145.4545455
1.284157188;NaN;NaN
1.29664543;NaN;NaN
1.309831485;NaN;NaN
1.34615125;0.0045;222.2222222
1.486446094;0.005895833333;169.6113074
1.583017891;NaN;NaN
1.599163516;NaN;NaN
1.630944571;0.005708333333;175.1824818
1.847606836;NaN;NaN
1.862649375;0.006208333333;161.0738255
1.881637774;0.006208333333;161.0738255
1.895902032;0.007375;135.5932203
1.9111525;0.007291666667;137.1428571
2.028584727;0.005270833333;189.7233202
2.6246625;0.006770833333;147.6923077
2.901907227;0.004666666667;214.2857143
2.919702149;0.004666666667;214.2857143
2.934117735;0.003125;320
2.952476289;NaN;NaN
3.010053555;NaN;NaN
3.047831094;0.0073125;136.7521368
3.129145821;NaN;NaN
3.184031914;NaN;NaN
3.204294258;NaN;NaN
3.222807657;NaN;NaN
3.236197071;NaN;NaN
3.249896172;NaN;NaN
3.264847266;0.00625;160
3.278797383;0.00625;160
3.291585313;NaN;NaN
3.314596368;NaN;NaN
3.450798282;NaN;NaN
3.470346836;NaN;NaN
3.489656172;NaN;NaN
3.510463868;NaN;NaN
3.529488555;0.0049375;202.5316456
3.544952813;NaN;NaN
3.569303946;NaN;NaN
3.603239883;0.003770833333;265.1933702
3.618357071;0.003770833333;265.1933702
3.63163625;0.006729166667;148.6068111
3.669453907;NaN;NaN
3.682432813;NaN;NaN
3.695931836;NaN;NaN
3.724186914;0.0030625;326.5306122
3.740408868;NaN;NaN
3.752954649;NaN;NaN
3.765849453;NaN;NaN
3.780565078;NaN;NaN
3.796836641;NaN;NaN
3.810236797;0.002166666667;461.5384615
3.849823321;0.0055;181.8181818
4.335910391;0.007479166667;133.7047354
4.638278282;0.007083333333;141.1764706
5.648341914;0.006458333333;154.8387097
7.007401993;0.007375;135.5932203
7.049727188;0.001625;615.3846154
7.954165313;0.00675;148.1481481
8.115368399;0.007125;140.3508772
8.91610168;0.001520833333;657.5342466
9.052526758;0.004291666667;233.0097087
9.144707227;0.0063125;158.4158416
9.15671961;0.0063125;158.4158416
9.47768668;0.006375;156.8627451
9.542325078;NaN;NaN
9.559238633;NaN;NaN
9.829238711;0.0015;666.6666667
9.985627344;NaN;NaN
10.3561482;0.005645833333;177.1217712
10.63533238;0.007083333333;141.1764706
10.78217215;0.002645833333;377.9527559
10.80266184;0.002645833333;377.9527559
10.84019738;0.0064375;155.3398058
11.3187707;NaN;NaN
11.40238871;0.006833333333;146.3414634
11.59939457;0.00475;210.5263158
11.73812719;0.001541666667;648.6486486
11.79526711;0.00725;137.9310345
12.26494879;0.000125;8000
12.30244641;0.000125;8000
12.32169039;0.000125;8000
12.33467793;0.000125;8000
12.34626137;0.000125;8000
12.36409383;0.000125;8000
12.37759305;0.000125;8000
12.39046731;0.000125;8000
12.40613356;0.000125;8000
12.42360156;0.000125;8000
12.44182922;0.000125;8000
12.46134594;0.000125;8000
12.48079383;0.000125;8000
12.49740328;0.000125;8000
12.51067211;0.000125;8000
12.5273152;0.000125;8000
12.5401507;0.000125;8000
12.55266469;0.000125;8000
12.56513891;0.000125;8000
12.57998184;0.000125;8000
12.59566406;0.000125;8000
12.61271152;0.000125;8000
12.63280172;0.000125;8000
12.64930043;0.000125;8000
12.66578535;0.000125;8000
12.68598078;0.000125;8000
12.70555195;0.000125;8000
12.72362758;0.000125;8000
12.74124621;0.000125;8000
12.76200445;0.000125;8000
12.77924024;0.000125;8000
12.7935532;0.000125;8000
12.9288723;0.006916666667;144.5783133
12.94849711;0.006916666667;144.5783133
12.96874219;0.0002291666667;4363.636364
